,name,add
0,카페테이크알,서울특별시 강북구 도봉로76길 12 1층
1,대성떡방앗간,서울특별시 강북구 삼양로27길 38 대성떡방앗간
2,"파리바게뜨 미아영훈
점",서울특별시 강북구 도봉로13길 13 1층3~4호
3,neezcoffee,"서울특별시 강북구 도봉로20가길 79 1층, 니즈커피"
4,와겐커피,서울특별시 강북구 솔매로 131 1층
5,빵이좋은사람들,서울특별시 강북구 월계로7길 53 빵이좋은사람들
6,대성방앗간,서울특별시 강북구 도봉로 41-12 대성방앗간
7,빵이요베이커리,서울특별시 강북구 솔매로 114 1층
8,"파리바게뜨 미아풍림
점","서울특별시 강북구 삼양로19길 69 1,2층(미아동)"
9,찰떡궁합,서울특별시 강북구 솔샘로 236 찰떡궁합(미아동)
10,"투썸플레이스 강북미
아점",서울특별시 강북구 도봉로 241 투썸플레이스 강북미아점
11,"카페홀리(CafeH
oly)","서울특별시 강북구 솔매로50길 69 1층(미아동, 정우빌딩)"
12,"대포항물회, 막회","서울특별시 강북구 솔샘로 261 외1필지, 대포항물회, 막회(미아동)"
13,두레떡방앗간,서울특별시 강북구 오현로6길 89 두레떡방앗간
14,커피베이미아송중점,서울특별시 강북구 월계로7길 63 커피베이
15,"핫브레드 미아사거리
역점",서울특별시 강북구 도봉로 지하50 416-122
16,콩아,서울특별시 강북구 삼양로19길 25 107동 지하1층 4-2호
17,"커피오쩜일(COFF
EE 5.1)",서울특별시 강북구 솔매로50길 27 1층 COFFEE 5.1(커피오쩜일)
18,자유,서울특별시 강북구 도봉로 177 101호
19,까페히로,서울특별시 강북구 도봉로68길 34 1층
20,호밀호두,서울특별시 강북구 도봉로 186 1층
21,일이이육(1226),서울특별시 강북구 도봉로13길 43 1층1226
22,더케이즈커피,서울특별시 강북구 도봉로54길 6 1층 (미아동)
23,대가떡집,서울특별시 강북구 솔샘로 219 1층 대가떡집
24,카페보나,서울시 강북구 도봉로79 1층
25,"카페엘파소(CAFE
ELPASO)",서울특별시 강북구 오패산로30길 21 1층
26,위드커피,서울시 강북구 솔샘로174 2-106
27,데콕트,서울특별시 강북구 도봉로76길 35-6 1층
28,"더 플랜 디(THE
PLAN D)",서울특별시 강북구 도봉로67길 29 1층
29,떡이야기,서울특별시 강북구 월계로7나길 10 1층
